datasetid;recordid;record_timestamp;titre;commune;auteur;code_insee;nombre_de_prets_2017
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;33902b5a9df46f1b7c10ceac5afe296fb6a82cee;2018-07-11T14:46:04+02:00;Printemps, été, automne, hiver... et printemps / Blue gate crossing;Cesson-Sévigné;Kim Ki-duk;35051.0;2.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;798225b94620dc9d7007211af2171eaa312ffba3;2018-07-11T14:46:04+02:00;Borgen - Une femme au pouvoir - Saison 3;Cesson-Sévigné;Sieling Charlotte;35051.0;3.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;cdd3ab463b58f33b3ab9e9fdb809460aeec271f9;2018-07-11T14:46:04+02:00;La promesse;Cesson-Sévigné;Dardenne Jean-Pierre;35051.0;2.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;f64f8d89312b87a11b185c2e326ca02e48a57f4d;2018-07-11T14:46:04+02:00;Un chien andalou;Cesson-Sévigné;Buñuel Luis;35051.0;2.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;eca44c5a4b1fec0073db328104b6e0844f7420b5;2018-07-11T14:46:04+02:00;Love and mercy;Cesson-Sévigné;Pohlad Bill;35051.0;2.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;4331c6312b8b596067ba4f8c7950fd89e7b7b508;2018-07-11T14:46:04+02:00;Black swan;Cesson-Sévigné;Aronofsky Darren;35051.0;3.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;7a3fc5489fdef46c85f06fcfa0617be38dce719a;2018-07-11T14:46:04+02:00;Mandarines;Cesson-Sévigné;Urushadze Zaza;35051.0;20.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;3230d4510c2b3e8a1fdfc0175a5a33b1f7cf909c;2018-07-11T14:46:04+02:00;Match point;Cesson-Sévigné;Allen Woody;35051.0;3.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;b623b4b6cd2cb79c5324910d58deeeb491cb4cb8;2018-07-11T14:46:04+02:00;Aurore;Cesson-Sévigné;Lenoir Blandine;35051.0;3.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;a6e06d9a7a91c58f4e232c8daa96a5f3c930acbd;2018-07-11T14:46:04+02:00;Caramel;Cesson-Sévigné;Labaki Nadine;35051.0;3.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;9348e619b2209d51f181c081b51794655ffc86fe;2018-07-11T14:46:04+02:00;Le Fabuleux destin d'Amélie Poulain;Cesson-Sévigné;Jeunet Jean-Pierre;35051.0;9.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;ac859c7fc285d30607de491e74e5d70e1cf3f9d9;2018-07-11T14:46:04+02:00;Il était une fois en Amérique;Cesson-Sévigné;Leone Sergio;35051.0;9.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;7882b433e0e6d68f0e349a73f1b8f671d9cbda9b;2018-07-11T14:46:04+02:00;Avant que de tout perdre;Cesson-Sévigné;Legrand Xavier;35051.0;9.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;a8f7a1dfb74b3b64f865c8d0c07dd60968748ace;2018-07-11T14:46:04+02:00;La danseuse;Cesson-Sévigné;Di giusto Stéphanie;35051.0;9.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;bcf9b5a88b826b6d59335e98cafe055341ca7d77;2018-07-11T14:46:04+02:00;La Face cachée;Cesson-Sévigné;Campan Bernard;35051.0;9.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;ee9908b06a3ae6ecc3f67bf2a74fc476d8cae968;2018-07-11T14:46:04+02:00;Queen and country;Cesson-Sévigné;Boorman John;35051.0;9.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;298230bcbd8662b2907425a1a7bf1ef9d8f046ae;2018-07-11T14:46:04+02:00;Hatufim : saison 1;Cesson-Sévigné;Raff Gideon;35051.0;9.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;fd9d940534e16bebff3900e1c4ef3a0740d73af2;2018-07-11T14:46:04+02:00;Intouchables;Cesson-Sévigné;Toledano Eric;35051.0;9.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;887666868d49cc1a78c85bcc16eb19d5a5caed33;2018-07-11T14:46:04+02:00;Ensemble, nous allons vivre une très, très grande histoire d'amour;Cesson-Sévigné;Thomas Pascal;35051.0;11.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;3166eb8ed7bbaa781de78f4395a9ba9eb7095a88;2018-07-11T14:46:04+02:00;L' homme qui voulait vivre sa vie;Cesson-Sévigné;Lartigau Eric;35051.0;11.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;69ce79dd401886262b7fd621747b34cef05cd6cf;2018-07-11T14:46:04+02:00;Two faces of january (The);Cesson-Sévigné;Amini Hossein;35051.0;11.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;078896ef522a180aeaf9fab4ee59b83cdb15ee89;2018-07-11T14:46:04+02:00;Trois enterrements;Cesson-Sévigné;Jones Tommy Lee;35051.0;11.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;d31db763c321fff1259c136f77700ecf8036525b;2018-07-11T14:46:04+02:00;Master (The);Cesson-Sévigné;Anderson Paul Thomas;35051.0;11.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;1ed784a085a3be38617e00c6e9ee740bc939ca07;2018-07-11T14:46:04+02:00;Lulu femme nue;Cesson-Sévigné;Anspach Solveig;35051.0;10.0
statistiques-de-prets-de-dvd-en-2017-cesson-sevigne;d766a6d64f0a66d4c609a3b0ed15bbb2708ebe4e;2018-07-11T14:46:04+02:00;Mange, prie, aime;Cesson-Sévigné;Murphy Ryan;35051.0;11.0
